vendredi 16 mai 2025	11:16:01	Sampling Period : 50  ms		Experiment

t	Alpha1L		Alpha2L		Alpha1R		Alpha2R		T_Alpha1L	T_Alpha2L	T_Alpha1R	T_Alpha2R
0	1.021000E+3	1.023000E+3	1.022000E+3	1.021000E+3
1	1.011000E+3	1.065000E+3	1.015000E+3	1.022000E+3
2	992.000000E+0	1.126000E+3	1.007000E+3	1.027000E+3
3	959.000000E+0	1.156000E+3	997.000000E+0	1.030000E+3
4	926.000000E+0	1.160000E+3	969.000000E+0	1.030000E+3
5	913.000000E+0	1.156000E+3	950.000000E+0	1.030000E+3
6	918.000000E+0	1.170000E+3	942.000000E+0	1.024000E+3
7	936.000000E+0	1.177000E+3	948.000000E+0	1.026000E+3
8	943.000000E+0	1.177000E+3	951.000000E+0	1.025000E+3
9	950.000000E+0	1.176000E+3	958.000000E+0	1.025000E+3
10	956.000000E+0	1.173000E+3	959.000000E+0	1.025000E+3
11	959.000000E+0	1.163000E+3	964.000000E+0	1.026000E+3
12	963.000000E+0	1.144000E+3	964.000000E+0	1.025000E+3
13	967.000000E+0	1.140000E+3	968.000000E+0	1.025000E+3
14	972.000000E+0	1.140000E+3	968.000000E+0	1.025000E+3
15	975.000000E+0	1.133000E+3	971.000000E+0	1.024000E+3
16	976.000000E+0	1.121000E+3	975.000000E+0	1.024000E+3
17	978.000000E+0	1.110000E+3	979.000000E+0	1.024000E+3
18	983.000000E+0	1.093000E+3	989.000000E+0	1.024000E+3
19	991.000000E+0	1.079000E+3	995.000000E+0	1.024000E+3
20	995.000000E+0	1.064000E+3	998.000000E+0	1.024000E+3
21	1.005000E+3	1.049000E+3	998.000000E+0	1.024000E+3
22	1.016000E+3	1.036000E+3	999.000000E+0	1.024000E+3
23	1.019000E+3	1.026000E+3	1.003000E+3	1.024000E+3
24	1.021000E+3	1.024000E+3	1.016000E+3	1.012000E+3
25	1.036000E+3	1.021000E+3	1.024000E+3	991.000000E+0
26	1.044000E+3	1.021000E+3	1.028000E+3	972.000000E+0
27	1.044000E+3	1.021000E+3	1.050000E+3	928.000000E+0
28	1.056000E+3	1.023000E+3	1.084000E+3	898.000000E+0
29	1.083000E+3	1.022000E+3	1.116000E+3	886.000000E+0
