vendredi 16 mai 2025	11:25:05	Sampling Period : 50  ms		Experiment

t	Alpha1L		Alpha2L		Alpha1R		Alpha2R		T_Alpha1L	T_Alpha2L	T_Alpha1R	T_Alpha2R
0	1.025000E+3	1.024000E+3	1.026000E+3	1.026000E+3
1	1.003000E+3	1.095000E+3	1.000000E+3	1.028000E+3
2	972.000000E+0	1.126000E+3	979.000000E+0	1.029000E+3
3	969.000000E+0	1.128000E+3	964.000000E+0	1.029000E+3
4	958.000000E+0	1.135000E+3	950.000000E+0	1.028000E+3
5	939.000000E+0	1.141000E+3	941.000000E+0	1.025000E+3
6	952.000000E+0	1.130000E+3	943.000000E+0	1.021000E+3
7	955.000000E+0	1.114000E+3	942.000000E+0	1.025000E+3
8	952.000000E+0	1.112000E+3	951.000000E+0	1.024000E+3
9	958.000000E+0	1.093000E+3	958.000000E+0	1.023000E+3
10	969.000000E+0	1.069000E+3	961.000000E+0	1.022000E+3
11	983.000000E+0	1.047000E+3	958.000000E+0	1.022000E+3
12	983.000000E+0	1.048000E+3	959.000000E+0	1.022000E+3
13	983.000000E+0	1.068000E+3	953.000000E+0	1.021000E+3
14	991.000000E+0	1.056000E+3	953.000000E+0	1.021000E+3
15	1.002000E+3	1.038000E+3	954.000000E+0	1.021000E+3
16	1.003000E+3	1.038000E+3	957.000000E+0	1.019000E+3
17	1.000000E+3	1.040000E+3	962.000000E+0	1.018000E+3
18	981.000000E+0	1.044000E+3	977.000000E+0	1.018000E+3
19	979.000000E+0	1.039000E+3	984.000000E+0	1.017000E+3
20	978.000000E+0	1.024000E+3	994.000000E+0	1.015000E+3
21	981.000000E+0	1.017000E+3	995.000000E+0	1.015000E+3
22	981.000000E+0	1.025000E+3	995.000000E+0	1.015000E+3
23	983.000000E+0	1.025000E+3	995.000000E+0	1.015000E+3
24	989.000000E+0	1.022000E+3	991.000000E+0	1.015000E+3
25	989.000000E+0	1.020000E+3	990.000000E+0	1.015000E+3
26	990.000000E+0	1.016000E+3	990.000000E+0	1.015000E+3
27	991.000000E+0	1.016000E+3	990.000000E+0	1.015000E+3
28	1.003000E+3	1.013000E+3	990.000000E+0	1.005000E+3
29	1.015000E+3	1.013000E+3	997.000000E+0	976.000000E+0
