abstract_input;u1;u2;u3
1;-2.0;2.0;-1.0
2;-2.0;-3.0;-1.0
3;1.0;-1.0;-2.0
4;-3.0;-1.0;-1.0
5;0.0;2.0;-3.0
6;0.0;-3.0;-3.0
7;0.0;2.0;2.0
8;0.0;-3.0;2.0
9;-1.0;-2.0;3.0
10;1.0;-1.0;1.0
11;1.0;0.0;-1.0
12;3.0;-1.0;-1.0
13;-2.0;-2.0;-3.0
14;-1.0;1.0;-1.0
15;-2.0;-2.0;2.0
16;1.0;1.0;0.0
17;-3.0;-2.0;3.0
18;2.0;0.0;3.0
19;1.0;1.0;-2.0
20;-3.0;1.0;-1.0
21;3.0;-2.0;3.0
22;-1.0;-2.0;0.0
23;2.0;-2.0;-1.0
24;1.0;1.0;1.0
25;0.0;0.0;3.0
26;1.0;2.0;-1.0
27;1.0;-3.0;-1.0
28;3.0;1.0;-1.0
29;-1.0;-2.0;-2.0
30;0.0;-2.0;-1.0
31;-1.0;-2.0;1.0
32;2.0;-1.0;-3.0
33;-3.0;-2.0;0.0
34;2.0;-1.0;2.0
35;1.0;-2.0;-3.0
36;-2.0;-1.0;-1.0
37;2.0;0.0;0.0
38;1.0;-2.0;2.0
39;2.0;2.0;3.0
40;2.0;-3.0;3.0
41;3.0;-2.0;0.0
42;0.0;-1.0;-3.0
43;-3.0;-2.0;-2.0
44;0.0;-1.0;2.0
45;2.0;0.0;-2.0
46;0.0;0.0;0.0
47;-1.0;0.0;-3.0
48;-1.0;0.0;2.0
49;3.0;-2.0;-2.0
50;-3.0;-2.0;1.0
51;0.0;-3.0;3.0
52;0.0;2.0;3.0
53;2.0;0.0;1.0
54;0.0;0.0;-2.0
55;3.0;-2.0;1.0
56;-2.0;-2.0;3.0
57;2.0;1.0;-3.0
58;0.0;0.0;1.0
59;2.0;1.0;2.0
60;-2.0;1.0;-1.0
61;2.0;2.0;0.0
62;2.0;-3.0;0.0
63;-3.0;0.0;-3.0
64;-3.0;0.0;2.0
65;0.0;1.0;-3.0
66;0.0;1.0;2.0
67;3.0;0.0;-3.0
68;3.0;0.0;2.0
69;2.0;2.0;-2.0
70;2.0;-3.0;-2.0
71;0.0;2.0;0.0
72;0.0;-3.0;0.0
73;1.0;-1.0;-1.0
74;-1.0;2.0;-3.0
75;-1.0;-3.0;-3.0
76;-1.0;2.0;2.0
77;-1.0;-3.0;2.0
78;2.0;2.0;1.0
79;2.0;-3.0;1.0
80;-2.0;-2.0;0.0
81;0.0;2.0;-2.0
82;0.0;-3.0;-2.0
83;0.0;2.0;1.0
84;0.0;-3.0;1.0
85;-2.0;-2.0;-2.0
86;2.0;-1.0;3.0
87;-3.0;2.0;-3.0
88;-3.0;-3.0;-3.0
89;-3.0;2.0;2.0
90;-3.0;-3.0;2.0
91;1.0;-2.0;3.0
92;-2.0;-2.0;1.0
93;3.0;2.0;-3.0
94;3.0;-3.0;-3.0
95;3.0;2.0;2.0
96;3.0;-3.0;2.0
97;1.0;1.0;-1.0
98;0.0;-1.0;3.0
99;-1.0;0.0;3.0
100;-1.0;-2.0;-1.0
101;-2.0;0.0;-3.0
102;-2.0;0.0;2.0
103;2.0;-1.0;0.0
104;2.0;1.0;3.0
105;1.0;-2.0;0.0
106;-3.0;0.0;3.0
107;2.0;-1.0;-2.0
108;0.0;-1.0;0.0
109;-1.0;-1.0;-3.0
110;1.0;-2.0;-2.0
111;0.0;1.0;3.0
112;-1.0;-1.0;2.0
113;-3.0;-2.0;-1.0
114;3.0;0.0;3.0
115;-1.0;0.0;0.0
116;2.0;-1.0;1.0
117;2.0;0.0;-1.0
118;-1.0;2.0;3.0
119;0.0;-1.0;-2.0
120;1.0;-2.0;1.0
121;-1.0;-3.0;3.0
122;3.0;-2.0;-1.0
123;-1.0;0.0;-2.0
124;-2.0;2.0;-3.0
125;-2.0;-3.0;-3.0
126;0.0;-1.0;1.0
127;-2.0;-3.0;2.0
128;0.0;0.0;-1.0
129;-2.0;2.0;2.0
130;2.0;1.0;0.0
131;-3.0;-1.0;-3.0
132;-3.0;-1.0;2.0
133;-1.0;0.0;1.0
134;-3.0;0.0;0.0
135;1.0;0.0;-3.0
136;3.0;-1.0;-3.0
137;1.0;0.0;2.0
138;2.0;1.0;-2.0
139;3.0;-1.0;2.0
140;0.0;1.0;0.0
141;-3.0;-3.0;3.0
142;-3.0;2.0;3.0
143;-1.0;1.0;-3.0
144;3.0;0.0;0.0
