abstract_state;x1;x2;x3;x4;x5;x6
1;-3;3;0;-2;2;4
2;-4;5;5;-1;3;1
3;-5;2;5;1;0;1
4;0;0;2;1;0;3
5;-6;0;5;-3;3;3
6;-4;0;1;1;4;4
7;-4;3;7;-2;0;2
8;-3;6;6;0;1;2
9;-3;6;4;-3;4;4
10;-2;0;1;0;4;2
11;-5;1;4;0;2;3
12;-2;4;3;-2;1;2
13;-1;1;5;-1;2;2
14;-6;0;3;1;2;0
15;-5;2;0;-1;4;4
16;-6;4;4;-3;1;0
17;-4;4;6;1;1;4
18;-2;3;7;-3;2;-1
19;-1;1;6;-4;-1;2
20;-2;4;6;0;1;2
21;-5;1;2;1;-1;1
22;-3;6;0;1;4;2
23;0;2;5;-4;-1;4
24;-2;4;4;-3;4;4
25;-5;6;2;-3;2;2
26;-4;2;7;-1;2;2
27;-5;0;6;1;0;4
28;-5;5;3;1;3;0
29;0;2;2;-1;1;-1
30;-3;3;5;-2;1;4
31;-4;3;2;1;1;3
32;-3;1;6;-3;2;2
33;-2;2;7;-2;3;4
34;-5;4;4;-4;3;4
35;-5;2;1;1;2;4
36;-6;6;0;-1;4;2
37;0;5;1;-1;3;0
38;0;2;6;1;-1;-1
39;-3;1;4;-1;0;1
40;-2;4;0;1;4;2
41;-1;6;1;1;1;1
42;-5;0;7;1;3;1
43;-2;5;2;0;-1;1
44;-3;1;3;1;3;3
45;0;6;7;-1;-1;-1
46;-3;1;0;0;-1;4
47;-5;1;7;-4;1;-1
48;-3;4;7;-2;3;4
49;-2;3;3;1;4;0
50;0;5;1;-4;-1;3
51;-2;3;6;-3;3;-1
52;0;5;4;-1;4;1
53;0;5;6;-3;1;4
54;-4;6;2;-2;1;2
55;-6;1;3;-1;3;3
56;-6;6;1;1;2;2
57;-4;2;6;-1;3;2
58;-6;4;7;0;2;-1
59;-2;3;0;-3;-1;0
60;-5;4;3;-4;-1;2
61;-2;0;5;-3;-1;4
62;-2;3;0;-3;2;1
63;-4;1;1;0;2;3
64;-3;1;2;-1;4;1
65;-1;6;5;-1;0;4
66;-1;0;7;1;2;4
67;-1;1;7;-3;4;2
68;-6;2;7;-3;-1;0
69;-4;5;7;-3;-1;-1
70;-5;1;4;1;2;-1
